fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,1.0647107369924282,0.07325046173959267,11.0,34.0,0.9978,3.51,0.44468582126144574,9.4,5.0
7.8,0.88,0.0,1.2809338454620642,0.09349034308733889,25.0,67.0,0.9968,3.2,0.5187937934151676,9.8,5.0
7.8,0.76,0.04,1.1939224684724346,0.0880108773227133,15.0,54.0,0.997,3.26,0.5007752879124893,9.8,5.0
11.2,0.28,0.56,1.0647107369924282,0.07232066157962612,17.0,60.0,0.998,3.16,0.4574248470388754,9.8,6.0
7.4,0.7,0.0,1.0647107369924282,0.07325046173959267,11.0,34.0,0.9978,3.51,0.44468582126144574,9.4,5.0
7.4,0.66,0.0,1.0296194171811583,0.07232066157962612,13.0,40.0,0.9978,3.51,0.44468582126144574,9.4,5.0
7.9,0.6,0.06,0.9555114450274363,0.06672363204290818,15.0,59.0,0.9964,3.3,0.3784364357202451,9.4,5.0
7.3,0.65,0.0,0.7884573603642702,0.06297479916138844,15.0,21.0,0.9946,3.39,0.3852624007906449,10.0,7.0
7.8,0.58,0.02,1.0986122886681098,0.07045846364856141,9.0,18.0,0.9968,3.36,0.4510756193602167,9.5,7.0
7.5,0.5,0.36,1.536867219599265,0.06859279146561172,17.0,102.0,0.9978,3.35,0.5877866649021191,10.5,5.0
6.7,0.58,0.08,1.0296194171811583,0.0925791812930932,15.0,65.0,0.9959,3.28,0.43178241642553783,9.2,5.0
7.5,0.5,0.36,1.536867219599265,0.06859279146561172,17.0,102.0,0.9978,3.35,0.5877866649021191,10.5,5.0
5.6,0.615,0.0,0.9555114450274363,0.08525984395082342,16.0,59.0,0.9943,3.58,0.41871033485818504,9.9,5.0
7.8,0.61,0.29,0.9555114450274363,0.10795714150509228,9.0,29.0,0.9974,3.26,0.6931471805599453,9.1,5.0
8.9,0.62,0.18,1.536867219599265,0.11332868530700316,42.0,122.0,0.9986,3.16,0.6312717768418579,9.2,5.0
8.9,0.62,0.19,1.536867219599265,0.11332868530700316,42.0,122.0,0.9986,3.17,0.6575200029167942,9.2,5.0
8.5,0.28,0.56,1.0296194171811583,0.0880108773227133,35.0,103.0,0.9969,3.3,0.5596157879354227,10.5,7.0
8.1,0.56,0.28,0.9932517730102833,0.11332868530700316,16.0,56.0,0.9968,3.11,0.6931471805599453,9.3,5.0
7.4,0.59,0.08,1.536867219599265,0.08250122151174369,6.0,29.0,0.9974,3.38,0.4054651081081644,9.0,4.0
7.9,0.32,0.51,1.0296194171811583,0.11332868530700316,17.0,56.0,0.9969,3.04,0.6931471805599453,9.2,6.0
8.9,0.22,0.48,1.0296194171811583,0.07417939817425151,29.0,60.0,0.9968,3.39,0.4252677354043441,9.4,6.0
7.6,0.39,0.31,1.1939224684724346,0.07881118042428978,23.0,71.0,0.9982,3.52,0.5007752879124893,9.7,5.0
7.9,0.43,0.21,0.9555114450274363,0.10074990310014305,10.0,37.0,0.9966,3.17,0.6471032420585385,9.5,5.0
8.5,0.49,0.11,1.1939224684724346,0.08065790301745447,9.0,67.0,0.9968,3.17,0.4252677354043441,9.4,5.0
6.9,0.4,0.14,1.2237754316221157,0.08157998699242287,21.0,40.0,0.9968,3.43,0.48858001481867097,9.7,6.0
6.3,0.39,0.16,0.8754687373538999,0.07696104113612832,11.0,23.0,0.9955,3.34,0.44468582126144574,9.3,5.0
7.6,0.41,0.24,1.0296194171811583,0.07696104113612832,4.0,11.0,0.9962,3.28,0.4637340162321401,9.5,5.0
7.9,0.43,0.21,0.9555114450274363,0.10074990310014305,10.0,37.0,0.9966,3.17,0.6471032420585385,9.5,5.0
7.1,0.71,0.0,1.0647107369924282,0.07696104113612832,14.0,35.0,0.9972,3.47,0.4382549309311553,9.4,5.0
7.8,0.645,0.0,1.0986122886681098,0.07881118042428978,8.0,16.0,0.9964,3.38,0.4637340162321401,9.8,6.0
6.7,0.675,0.07,1.2237754316221157,0.08525984395082342,17.0,82.0,0.9958,3.35,0.43178241642553783,10.1,5.0
6.9,0.685,0.0,1.252762968495368,0.09984533496971613,22.0,37.0,0.9966,3.46,0.4510756193602167,10.6,6.0
8.3,0.655,0.12,1.1939224684724346,0.07973496801885356,15.0,113.0,0.9966,3.17,0.5068176023684519,9.8,5.0
6.9,0.605,0.12,1.536867219599265,0.07045846364856141,40.0,83.0,0.9993,3.45,0.41871033485818504,9.4,6.0
5.2,0.32,0.25,1.0296194171811583,0.09803374027136541,13.0,50.0,0.9957,3.38,0.4382549309311553,9.2,5.0
7.8,0.645,0.0,1.536867219599265,0.08250122151174369,5.0,18.0,0.9986,3.4,0.4382549309311553,9.6,6.0
7.8,0.6,0.14,1.2237754316221157,0.08250122151174369,3.0,15.0,0.9975,3.42,0.4700036292457355,10.8,6.0
8.1,0.38,0.28,1.1314021114911006,0.0639133257436528,13.0,30.0,0.9968,3.23,0.5481214085096876,9.7,7.0
5.7,1.0150000000000001,0.09,0.9162907318741551,0.11332868530700316,7.0,19.0,0.994,3.5,0.3920420877760237,9.8,4.0
7.3,0.45,0.36,1.536867219599265,0.07138999608667294,12.0,87.0,0.9978,3.33,0.6043159668533296,10.5,5.0
7.3,0.45,0.36,1.536867219599265,0.07138999608667294,12.0,87.0,0.9978,3.33,0.6043159668533296,10.5,5.0
8.8,0.61,0.3,1.33500106673234,0.08434114843375087,17.0,46.0,0.9976,3.26,0.412109650826833,9.3,4.0
7.5,0.49,0.2,1.2809338454620642,0.11332868530700316,8.0,14.0,0.9968,3.21,0.6418538861723948,10.5,6.0
8.1,0.66,0.22,1.1631508098056809,0.06672363204290818,9.0,23.0,0.9968,3.3,0.6931471805599453,10.3,5.0
6.8,0.67,0.02,1.0296194171811583,0.04879016416943201,5.0,11.0,0.9962,3.48,0.41871033485818504,9.5,5.0
4.6,0.52,0.15,1.1314021114911006,0.05259245011917058,8.0,65.0,0.9934,3.6849999999999996,0.44468582126144574,13.1,4.0
7.7,0.935,0.43,1.1631508098056809,0.10795714150509228,22.0,114.0,0.997,3.25,0.5481214085096876,9.2,5.0
8.7,0.29,0.52,0.9555114450274363,0.10705907229340778,12.0,37.0,0.9969,3.25,0.4574248470388754,9.5,5.0
6.4,0.4,0.23,0.9555114450274363,0.0639133257436528,5.0,12.0,0.9958,3.34,0.44468582126144574,9.2,5.0
